Company Name,Sector,Stage,Amount,Location,Funding Year,Founded,Investor
Biryani By Kilo,"Catering, Food and Beverage, Food Delivery, Food Processing",Seed,1000000.0,Noida,2018,,
Wholesome Habits (EAT Anytime),"Food and Beverage, Snack Food",Seed,500000.0,Mumbai,2018,,
GoBumpr,"Automotive, E-Commerce, Mobile",Seed,600000.0,Mylapore,2018,,
Fixpocket,"Computer, Digital Marketing, Facilities Support Services, Graphic Design, Internet, Mobile Apps, Social Media Marketing, Web Development",Seed,250000.0,Ahmedabad,2018,,
edureka!,"Android, Big Data, Blockchain, Cloud Computing, EdTech, Education, Information Technology, iOS, Training, Web Development",Series A,2000000.0,Bangalore,2018,,
Hashtag Loyalty Private Limited,"Analytics, CRM, Loyalty Programs, Machine Learning, Marketing Automation, Retail Technology, SaaS, Small and Medium Businesses",Seed,,Mumbai,2018,,
Wow Express,"Delivery, Information Technology, Mobile Apps",Series A,4500000.0,Mumbai,2018,,
ZunRoof,"Environmental Consulting, Renewable Energy",Angel,199200.0,Gurgaon,2018,,
Eggoz,"Food and Beverage, Food Processing",Angel,144000.0,Indore,2018,,
Sqrrl Fintech,"Big Data, Business Intelligence, Financial Services, FinTech, Personal Finance",Seed,1000000.0,Gurgaon,2018,,
GalaxyCard,"Finance, Financial Services, FinTech",Seed,,Noida,2018,,
IndiQube,"Commercial Real Estate, Coworking, Office Administration, Real Estate",Series A,15000000.0,Bengaluru,2018,,
EGK Foods,"Food and Beverage, Food Processing, Organic Food, Snack Food",Seed,240000.0,Mumbai,2018,,
NirogStreet,"Apps, Health Care, Internet, Mobile Apps, Personal Health",Seed,300000.0,Gurgaon,2018,,
Pixr8,"Digital Media, Incubators, Social Entrepreneurship",Seed,50000.0,Ghaziabad,2018,,
Nivesh.com,"Finance, Financial Services, Marketing",Seed,360000.0,Noida,2018,,
Theranosis Life Sciences,"Biotechnology, Health Care, Life Science, Medical Device",Seed,,Hyderabad,2018,,
Poshmiles Online Solutions Private Limited,Travel,Seed,,Bengaluru,2018,,
Reculta,"Education, Human Resources",Seed,,Noida,2018,,
Orbo.ai,Internet,Seed,,Mumbai,2018,,
Inntot Technologies,Consumer Electronics,Seed,,Kochi,2018,,
Zoctr Health,"Apps, Health Care, Hospital, Mobile Apps",Seed,,Powai,2018,,
Hey Deedee,"Delivery Service, Logistics, Service Industry",Seed,396000.0,Mumbai,2018,,
DigiConnectt Technologys,"Information Services, Information Technology",Seed,125000.0,Bengaluru,2018,,
Locus.sh,"Big Data, Data Visualization, Logistics, Software",Series A,4000000.0,Bangalore,2018,,
Sports Flashes Pvt. Ltd,"Basketball, Cricket, Cycling, eSports, Fitness, Golf, Health Care, Hockey, Sports, Swimming, Table Tennis, Volley Ball",Seed,1000000.0,New Delhi,2018,,
